DATE;TICKER
01/04/2015;LLOY LN
01/04/2015;LNA GY
01/04/2015;LOGN SW
01/04/2015;LONN SW
01/04/2015;LR FP
01/04/2015;LRE LN
01/04/2015;LSE LN
01/04/2015;LUPE SS
01/04/2015;LUX IM
01/04/2015;LXS GY
01/04/2015;MAERSKB DC
01/04/2015;MAN GY
01/04/2015;MAP SQ
01/04/2015;MB IM
01/04/2015;MC FP
01/04/2015;MCRO LN
01/04/2015;MEDAA SS
01/04/2015;MERL LN
01/04/2015;METSO FH
01/04/2015;MF FP
01/04/2015;MGGT LN
01/04/2015;MKS LN
01/04/2015;ML FP
01/04/2015;MMB FP
01/04/2015;MNDI LN
01/04/2015;MOR GY
01/04/2015;MOWI NO
01/04/2015;MRK GY
01/04/2015;MRO LN
01/04/2015;MRW LN
01/04/2015;MS IM
01/04/2015;MT NA
01/04/2015;MTGB SS
01/04/2015;MTO LN
01/04/2015;MTX GY
01/04/2015;MUV2 GY
01/04/2015;NCCB SS
01/04/2015;NDA SS
01/04/2015;NESN SW
01/04/2015;NESTE FH
01/04/2015;NG/ LN
01/04/2015;NHY NO
01/04/2015;NK FP
01/04/2015;NN NA
01/04/2015;NOKIA FH
01/04/2015;NOVN SW
01/04/2015;NOVOB DC
01/04/2015;NTGY SQ
01/04/2015;NXT LN
01/04/2015;NZYMB DC
01/04/2015;O2D GY
01/04/2015;OCDO LN
01/04/2015;OCI NA
01/04/2015;OERL SE
01/04/2015;OML LN
01/04/2015;OMV AV
01/04/2015;OPAP GA
01/04/2015;OR FP
01/04/2015;ORA FP
01/04/2015;ORK NO
01/04/2015;ORNBV FH
01/04/2015;ORP FP
01/04/2015;OSR GY
01/04/2015;OUT1V FH
01/04/2015;PAGE LN
01/04/2015;PAH3 GY
01/04/2015;PARG SE
01/04/2015;PC IM
01/04/2015;PFC LN
01/04/2015;PFG LN
01/04/2015;PGHN SW
01/04/2015;PGIL LN
01/04/2015;PHIA NA
01/04/2015;PHNX LN
01/04/2015;PMI IM
01/04/2015;PNDORA DC
01/04/2015;PNL NA
01/04/2015;PNN LN
01/04/2015;POP SQ
01/04/2015;PROX BB
01/04/2015;PRU LN
01/04/2015;PRY IM
01/04/2015;PSM GY
01/04/2015;PSN LN
01/04/2015;PSON LN
01/04/2015;PSPN SE
01/04/2015;PUB FP
01/04/2015;QDT FP
01/04/2015;QIA GY
01/04/2015;QQ/ LN
01/04/2015;RAND NA
01/04/2015;RB/ LN
01/04/2015;RBI AV
01/04/2015;RBS LN
01/04/2015;RCO FP
01/04/2015;RDSA NA
01/04/2015;REE SQ
01/04/2015;REL LN
01/04/2015;RENT NA
01/04/2015;REP SQ
01/04/2015;REX LN
01/04/2015;RF FP
01/04/2015;RHM GY
